Category: All categories

Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25)
South Carolina,26%,74%
Illinois,29%,71%
North Carolina,27%,73%
Tennessee,25%,75%
Alabama,27%,73%
Kentucky,27%,73%
Indiana,27%,73%
Utah,24%,76%
Georgia,27%,73%
Arkansas,26%,74%
Oklahoma,22%,78%
Delaware,27%,73%
Ohio,26%,74%
West Virginia,27%,73%
Rhode Island,27%,73%
Pennsylvania,27%,73%
New Jersey,28%,72%
Connecticut,26%,74%
Nevada,23%,77%
Virginia,25%,75%
Maryland,29%,71%
Missouri,22%,78%
Florida,27%,73%
Michigan,22%,78%
Minnesota,23%,77%
Kansas,20%,80%
Arizona,21%,79%
Mississippi,22%,78%
Texas,23%,77%
Idaho,22%,78%
New Hampshire,25%,75%
Wisconsin,23%,77%
Louisiana,23%,77%
Oregon,21%,79%
North Dakota,21%,79%
Nebraska,21%,79%
California,23%,77%
Iowa,22%,78%
New York,24%,76%
Colorado,21%,79%
Washington,21%,79%
Massachusetts,26%,74%
New Mexico,21%,79%
South Dakota,16%,84%
Wyoming,19%,81%
Hawaii,17%,83%
Maine,20%,80%
Vermont,19%,81%
Montana,16%,84%
Alaska,16%,84%
District of Columbia,20%,80%
