Category: All categories

Week,Milkshake: (United States),Hamburger: (United States)
2024-01-28,23,66
2024-02-04,26,70
2024-02-11,22,64
2024-02-18,25,70
2024-02-25,24,68
2024-03-03,24,67
2024-03-10,26,72
2024-03-17,27,66
2024-03-24,23,64
2024-03-31,21,63
2024-04-07,21,66
2024-04-14,23,71
2024-04-21,22,69
2024-04-28,23,77
2024-05-05,22,67
2024-05-12,21,67
2024-05-19,21,76
2024-05-26,22,100
2024-06-02,23,73
2024-06-09,22,72
2024-06-16,22,73
2024-06-23,23,73
2024-06-30,23,96
2024-07-07,24,71
2024-07-14,24,72
2024-07-21,22,69
2024-07-28,21,68
2024-08-04,23,67
2024-08-11,24,67
2024-08-18,22,69
2024-08-25,23,69
2024-09-01,21,68
2024-09-08,19,64
2024-09-15,19,72
2024-09-22,20,59
2024-09-29,19,61
2024-10-06,20,62
2024-10-13,19,60
2024-10-20,20,63
2024-10-27,18,61
2024-11-03,18,55
2024-11-10,21,58
2024-11-17,20,57
2024-11-24,17,50
2024-12-01,18,53
2024-12-08,18,56
2024-12-15,18,56
2024-12-22,17,56
2024-12-29,23,65
2025-01-05,24,65
2025-01-12,25,64
2025-01-19,23,62
2025-01-26,24,64
2025-02-02,28,65
2025-02-09,24,63
2025-02-16,26,68
2025-02-23,28,68
